[03:43:27] ============================================================
[03:43:27] Grid.gg 完整数据下载器 v2
[03:43:27] 使用二分法版本检测 + 动态查询构建
[03:43:27] 输出目录: /www/wwwroot/AI-Drafting-Assistant/data/grid_v2
[03:43:27] ============================================================
[03:43:27] 共 1632 场比赛，使用 10 个并行线程
[03:43:32] [1/1632] 2856455: OK v3.42 (4g)
[03:43:32] [2/1632] 2847266: OK v3.42 (3g)
[03:43:32] [3/1632] 2825122: OK v3.42 (4g)
[03:43:32] [4/1632] 2847267: OK v3.42 (4g)
[03:43:32] [5/1632] 2825123: OK v3.42 (4g)
[03:43:32] [6/1632] 2856454: OK v3.42 (4g)
[03:43:32] [7/1632] 2833796: OK v3.42 (4g)
[03:43:32] [8/1632] 2833797: OK v3.42 (3g)
[03:43:32] [9/1632] 2856453: OK v3.42 (4g)
[03:43:32] [10/1632] 2833795: OK v3.42 (4g)
[03:43:36] [11/1632] 2825121: OK v3.42 (3g)
[03:43:36] [12/1632] 2847265: OK v3.42 (5g)
[03:43:36] [13/1632] 2825120: OK v3.42 (3g)
[03:43:36] [14/1632] 2852988: OK v3.42 (5g)
[03:43:36] [15/1632] 2847264: OK v3.42 (3g)
[03:43:36] [16/1632] 2847263: OK v3.42 (4g)
[03:43:36] [17/1632] 2852987: OK v3.42 (4g)
[03:43:37] [18/1632] 2847262: OK v3.42 (4g)
[03:43:37] [19/1632] 2833792: OK v3.42 (3g)
[03:43:37] [20/1632] 2852986: OK v3.42 (3g)
[03:43:40] [22/1632] 2852517: OK v3.42 (5g)
[03:43:40] [23/1632] 2853511: OK v3.42 (4g)
[03:43:41] [24/1632] 2825118: OK v3.42 (3g)
[03:43:41] [25/1632] 2852985: OK v3.42 (3g)
[03:43:41] [26/1632] 2825119: OK v3.42 (5g)
[03:43:41] [27/1632] 2847259: OK v3.42 (3g)
[03:43:41] [28/1632] 2833793: OK v3.42 (4g)
[03:43:41] [29/1632] 2852984: OK v3.42 (4g)
[03:43:41] [30/1632] 2847260: OK v3.42 (5g)
[03:43:44] [31/1632] 2852002: OK v3.42 (4g)
[03:43:45] [32/1632] 2847258: OK v3.42 (4g)
[03:43:45] [33/1632] 2849606: OK v3.42 (4g)
[03:43:45] [34/1632] 2851768: OK v3.42 (5g)
[03:43:45] [35/1632] 2852001: OK v3.42 (4g)
[03:43:45] [36/1632] 2851767: OK v3.42 (4g)
[03:43:45] [37/1632] 2833789: OK v3.42 (5g)
[03:43:45] [38/1632] 2849605: OK v3.42 (5g)
[03:43:45] [39/1632] 2847257: OK v3.42 (5g)
[03:43:45] [40/1632] 2825049: OK v3.42 (4g)
[03:43:48] [41/1632] 2825117: OK v3.42 (3g)
[03:43:49] [42/1632] 2833790: OK v3.42 (4g)
[03:43:49] [43/1632] 2849604: OK v3.42 (3g)
[03:43:49] [44/1632] 2847245: OK v3.42 (3g)
[03:43:49] [45/1632] 2825048: OK v3.42 (3g)
[03:43:49] [46/1632] 2847244: OK v3.42 (4g)
[03:43:49] [47/1632] 2849603: OK v3.42 (5g)
[03:43:49] [48/1632] 2833787: OK v3.42 (3g)
[03:43:49] [49/1632] 2825116: OK v3.42 (3g)
[03:43:50] [50/1632] 2825047: OK v3.42 (5g)
[03:43:50] --- 50/1632 (134.4/min) ---
[03:43:53] [51/1632] 2825115: OK v3.42 (5g)
[03:43:53] [52/1632] 2833788: OK v3.42 (4g)
[03:43:53] [53/1632] 2847243: OK v3.42 (4g)
[03:43:53] [54/1632] 2847241: OK v3.42 (5g)
[03:43:53] [55/1632] 2847565: OK v3.42 (3g)
