gameId,side,actual,actualRole,usedRole,primaryRole,fallback,covBefore,covAfter,candidates,candRoleNull,actualScore,bestScore,bestPick,bestIsActual,rank1,rank2,mismatch,actualTop3,bestTop3,actualRoleCov,bestRoleCov,diffCov,actualCF_raw,actualCF_z,actualCF_wz,actualCF_count,bestCF_raw,bestCF_z,bestCF_wz,bestCF_count
5032dfb6-20c0-4d5c-9d34-c4498960b59a,red,Kalista,bot,bot,bot,false,1,1,142,0,-0.0577,-0.0041,Pantheon,false,110,110,false,"opp_meta_sum:0.015,-0.79,-0.081 | our_meta_sum:0.021,-1.01,0.021 | our_synergy:0.500,-0.12,0.003","opp_meta_sum:0.015,-0.79,-0.081 | our_synergy:0.250,-1.96,0.042 | our_meta_sum:0.010,-1.69,0.035",1,1,0,0.5,0.0058708034447231975,0.000051346046927549086,0,0.5,0.0058708034447231975,0.000051346046927549086,0
1f4331ae-784d-47a1-9ab9-94de08670072,red,Jax,top,top,top,false,1,1,149,0,-0.0919,-0.0339,Smolder,false,114,114,false,"opp_meta_sum:0.010,-1.09,-0.112 | our_meta_sum:0.020,-1.09,0.023 | our_synergy:0.583,0.49,-0.011","opp_meta_sum:0.010,-1.09,-0.112 | our_synergy:0.200,-2.32,0.050 | our_meta_sum:0.015,-1.38,0.029",1,1,0,0.65,0.9778581287300017,0.008552347193872595,1,0.5,0.0058708034447231975,0.000051346046927549086,0
ac0e107c-c3f4-4fa4-a2d4-9681df3907b3,blue,Nidalee,jungle,jungle,jungle,false,1,1,125,0,0.1361,0.1822,Kennen,false,3,3,false,"opp_meta_sum:0.037,0.50,0.052 | our_synergy:0.200,-2.32,0.050 | counter_against:0.333,-1.53,0.030","our_synergy:0.000,-3.79,0.081 | opp_meta_sum:0.037,0.50,0.052 | counter_against:0.333,-1.53,0.030",1,1,0,0.5,0.0058708034447231975,0.000051346046927549086,0,0.675,1.1398560162775482,0.009969180718363438,2
8f387285-2a98-4d88-acaa-c9662fa6813c,red,Nautilus,support,support,support,false,1,1,93,0,-0.1711,-0.0753,Rumble,false,88,88,false,"opp_meta_sum:0.010,-1.10,-0.112 | our_meta_sum:0.071,2.06,-0.043 | our_synergy:0.609,0.68,-0.015","opp_meta_sum:0.010,-1.10,-0.112 | our_synergy:0.143,-2.74,0.059 | our_meta_sum:0.054,1.00,-0.021",1,1,0,0.5,0.0058708034447231975,0.000051346046927549086,0,0.5,0.0058708034447231975,0.000051346046927549086,0
fd583157-c620-46ef-9098-ac380f99498d,red,Nocturne,jungle,jungle,jungle,false,1,1,135,0,-0.0793,-0.0206,Ahri,false,77,77,false,"opp_meta_sum:0.009,-1.16,-0.119 | our_meta_sum:0.008,-1.79,0.038 | our_synergy:0.500,-0.12,0.003","opp_meta_sum:0.009,-1.16,-0.119 | our_synergy:0.200,-2.32,0.050 | our_meta_sum:0.013,-1.52,0.032",1,1,0,0.5,0.0058708034447231975,0.000051346046927549086,0,0.8,1.94984545401528,0.01705334834081764,1
ccbdea77-35c4-4e07-a628-fd7cacaac57c,blue,Xin Zhao,jungle,jungle,jungle,false,1,1,137,0,0.127,0.1981,Gangplank,false,135,135,false,"opp_meta_sum:0.050,1.25,0.128 | our_synergy:0.700,1.35,-0.029 | our_meta_sum:0.016,-1.32,0.028","opp_meta_sum:0.050,1.25,0.128 | our_meta_sum:0.003,-2.08,0.044 | counter_for:1.000,3.25,0.028",1,1,0,0.5844155844155844,0.5528766575013732,0.0048354592465070095,2,1,3.2458285543956515,0.02838801653674437,1
c6700e28-f29b-4d0a-a658-6fe3fce0875f,blue,Renekton,top,top,top,false,1,1,122,0,0.0999,0.1669,Lucian,false,102,102,false,"opp_meta_sum:0.044,0.87,0.089 | counter_against:0.667,1.54,-0.030 | opp_synergy:0.636,1.37,0.015","opp_meta_sum:0.044,0.87,0.089 | our_synergy:0.200,-2.32,0.050 | counter_against:0.667,1.54,-0.030",1,1,0,0.5128205128205128,0.08894664321269541,0.0007779273415382341,2,1,3.2458285543956515,0.02838801653674437,1
0be0ebde-958c-473b-8c25-084877c05141,blue,Sejuani,jungle,jungle,jungle,false,1,1,105,0,0.1297,0.2737,Gragas,false,105,105,false,"opp_meta_sum:0.055,1.50,0.154 | our_synergy:0.800,2.09,-0.045 | opp_synergy:0.615,1.15,0.012","opp_meta_sum:0.055,1.50,0.154 | our_synergy:0.000,-3.79,0.081 | our_meta_sum:0.028,-0.61,0.013",1,1,0,0.5857142857142856,0.5612921321791674,0.0049090609880389985,2,0.5833333333333333,0.5458637619365441,0.004774124461897015,2
7ff53498-817a-44a9-81b5-1420d7ff0df1,red,Xin Zhao,jungle,jungle,jungle,false,1,1,148,0,-0.0842,-0.0055,Elise,false,94,94,false,"opp_meta_sum:0.009,-1.16,-0.119 | counter_for:0.833,2.17,0.019 | our_synergy:0.460,-0.41,0.009","opp_meta_sum:0.009,-1.16,-0.119 | our_synergy:0.000,-3.79,0.081 | our_meta_sum:0.012,-1.58,0.033",1,1,0,0.8333333333333334,2.1658426374120086,0.01894245970680543,1,0.5,0.0058708034447231975,0.000051346046927549086,0
c2322ec0-2922-4700-b564-6ea3a1beb0ce,red,Zyra,jungle,jungle,jungle,false,1,1,133,0,-0.1216,-0.0069,Gwen,false,112,112,false,"opp_meta_sum:0.010,-1.11,-0.114 | our_synergy:0.609,0.68,-0.015 | our_meta_sum:0.031,-0.37,0.008","opp_meta_sum:0.010,-1.11,-0.114 | our_synergy:0.000,-3.79,0.081 | our_meta_sum:0.021,-0.99,0.021",1,1,0,0.5,0.0058708034447231975,0.000051346046927549086,0,0.6,0.6538623536349086,0.005718680144890911,1
09efedca-10e3-4a63-bea5-d089fe62072e,blue,Akali,mid,mid,mid,false,1,1,149,0,0.0198,0.0828,Hwei,false,111,111,false,"our_meta_sum:0.017,-1.24,0.026 | our_synergy:0.579,0.46,-0.010 | counter_against:0.533,0.31,-0.006","our_synergy:0.143,-2.74,0.059 | our_meta_sum:0.017,-1.26,0.026 | counter_against:0.533,0.31,-0.006",1,1,0,0.5533333333333333,0.3514662968794889,0.00307392423250801,2,0.4444444444444444,-0.35412450221649117,-0.003097172896385432,1
