gameId,side,actual,actualRole,usedRole,primaryRole,fallback,covBefore,covAfter,candidates,candRoleNull,actualScore,bestScore,bestPick,bestIsActual,rank1,rank2,mismatch,actualTop3,bestTop3,actualRoleCov,bestRoleCov,diffCov,actualCF_raw,actualCF_z,actualCF_wz,actualCF_count,bestCF_raw,bestCF_z,bestCF_wz,bestCF_count
d9321570-4077-4c0d-8ff7-14d30fc50457,red,Aurora,mid,mid,mid,false,1,1,142,0,-0.0655,0.1874,Pyke,false,130,130,false,"opp_meta_sum:0.041,-0.92,-0.064 | opp_synergy:0.333,-1.65,0.062 | counter_for:0.642,1.04,-0.060","counter_for:0.000,-3.50,0.201 | opp_meta_sum:0.041,-0.92,-0.064 | opp_synergy:0.333,-1.65,0.062",1,1,0,0.6416666666666666,1.0405660221509496,-0.059706637784999336,2,0,-3.502431978929929,0.2009660445190204,1
49fc728e-e6eb-4fe5-ab54-1215d20225b7,red,Sejuani,jungle,jungle,jungle,false,1,1,142,0,0.057,0.2184,Kindred,false,24,24,false,"opp_meta_sum:0.034,-1.22,-0.085 | opp_synergy:0.309,-1.87,0.071 | counter_for:0.370,-0.88,0.051","counter_for:0.000,-3.50,0.201 | opp_meta_sum:0.034,-1.22,-0.085 | opp_synergy:0.309,-1.87,0.071",1,1,0,0.3701298701298701,-0.8819136514385133,0.05060332340589045,2,0,-3.502431978929929,0.2009660445190204,1
2d5fb8f6-c456-4288-ae70-edb91716e54a,blue,Sejuani,jungle,jungle,jungle,false,1,1,133,0,-0.0163,0.228,Graves,false,115,115,false,"our_meta_sum:0.121,1.98,-0.043 | opp_synergy:0.390,-1.14,0.043 | our_synergy:0.472,-0.39,-0.018","counter_for:0.000,-3.50,0.201 | opp_synergy:0.390,-1.14,0.043 | our_meta_sum:0.095,0.94,-0.021",1,1,0,0.5384615384615384,0.30987403596311613,-0.01778026230952764,1,0,-3.502431978929929,0.2009660445190204,1
d7b2ce43-dc15-43fa-b2fc-93a6176a0d40,blue,Elise,support,support,support,false,1,1,140,0,0.1203,0.2155,Zac,false,79,79,false,"opp_synergy:0.405,-1.00,0.038 | our_meta_sum:0.035,-1.47,0.032 | counter_for:0.429,-0.47,0.027","counter_for:0.267,-1.61,0.093 | opp_synergy:0.405,-1.00,0.038 | our_synergy:0.593,0.80,0.037",1,0.5,0.5,0.42857142857142855,-0.4681475997293421,0.02686184112486992,1,0.26666666666666666,-1.614432809649564,0.09263454018488233,2
f05bf22d-dfac-4b9d-b8ab-1f52b00e6bca,red,Alistar,support,support,support,false,1,1,145,0,-0.202,-0.0128,Wukong,false,126,126,false,"opp_meta_sum:0.016,-1.92,-0.134 | counter_for:0.643,1.05,-0.060 | opp_synergy:0.571,0.51,-0.019","opp_meta_sum:0.016,-1.92,-0.134 | counter_for:0.167,-2.32,0.133 | opp_synergy:0.571,0.51,-0.019",1,0.5,0.5,0.6428571428571428,1.0489945898709512,-0.060190260572205306,2,0.16666666666666666,-2.3224324981297007,0.13325885431018408,1
762780e7-c291-4637-85d2-72cd286414b3,blue,K'Sante,top,top,top,false,1,1,113,0,0.019,0.208,Lulu,false,42,42,false,"opp_meta_sum:0.111,1.93,0.134 | counter_against:0.646,1.18,-0.036 | our_synergy:0.434,-0.76,-0.035","counter_for:0.000,-3.50,0.201 | opp_meta_sum:0.111,1.93,0.134 | our_synergy:0.292,-2.16,-0.099",1,1,0,0.5429610645127887,0.3417306663890506,-0.019608163906737332,4,0,-3.502431978929929,0.2009660445190204,1
c3a28ecb-3898-4cec-a070-fee42bed8f2a,red,Rakan,support,support,support,false,1,1,141,0,-0.044,0.1206,Pyke,false,17,17,false,"opp_meta_sum:0.028,-1.45,-0.101 | counter_for:0.304,-1.35,0.078 | counter_against:0.417,-0.63,0.019","counter_for:0.000,-3.50,0.201 | opp_meta_sum:0.028,-1.45,-0.101 | counter_against:0.417,-0.63,0.019",1,1,0,0.3035714285714286,-1.353147210329513,0.07764223378149712,2,0,-3.502431978929929,0.2009660445190204,1
0ee6d90f-2d5b-4074-a421-6a3c5f375a8d,red,Aatrox,top,top,top,false,1,1,146,0,0.0265,0.1497,Rek'Sai,false,20,20,false,"opp_meta_sum:0.041,-0.94,-0.065 | counter_for:0.393,-0.72,0.041 | opp_synergy:0.428,-0.80,0.030","counter_for:0.250,-1.73,0.099 | opp_meta_sum:0.041,-0.94,-0.065 | our_synergy:0.609,0.96,0.044",1,1,0,0.39285714285714285,-0.721004631329391,0.041370524741049124,2,0.25,-1.7324327577295866,0.09940525920576596,1
5d1c4c1b-63aa-4d60-b484-3ce9db6004e2,red,K'Sante,top,top,top,false,1,1,80,0,-0.1215,-0.1215,K'Sante,true,1,1,false,"counter_for:0.000,-3.50,0.201 | opp_synergy:1.000,4.40,-0.166 | opp_meta_sum:0.030,-1.38,-0.096","counter_for:0.000,-3.50,0.201 | opp_synergy:1.000,4.40,-0.166 | opp_meta_sum:0.030,-1.38,-0.096",1,1,0,0,-3.502431978929929,0.2009660445190204,1,0,-3.502431978929929,0.2009660445190204,1
e7f57856-4ddf-4c7c-b916-9b499ee5036d,blue,Jhin,bot,bot,bot,false,1,1,108,0,0.2067,0.4998,Bel'Veth,false,94,94,false,"opp_meta_sum:0.098,1.41,0.098 | counter_for:0.714,1.55,-0.089 | counter_against:0.178,-2.52,0.077","counter_for:0.000,-3.50,0.201 | opp_meta_sum:0.098,1.41,0.098 | counter_against:0.178,-2.52,0.077",1,1,0,0.7142857142857143,1.5547086530710497,-0.08920762780456376,1,0,-3.502431978929929,0.2009660445190204,1
37b7224b-8d66-4edb-bc00-b93c06dfa83b,blue,Nasus,top,top,top,false,1,1,128,0,-0.0049,0.1873,Annie,false,36,36,false,"opp_meta_sum:0.085,0.86,0.060 | our_synergy:0.430,-0.80,-0.037 | counter_against:0.597,0.79,-0.024","counter_for:0.000,-3.50,0.201 | opp_meta_sum:0.085,0.86,0.060 | our_synergy:0.406,-1.03,-0.047",1,0.5,0.5,0.5,0.03756646347075591,-0.0021555261074885034,0,0,-3.502431978929929,0.2009660445190204,1
3fac43ff-da55-4ae7-bb2c-2b176401bbfc,red,Lee Sin,jungle,jungle,jungle,false,1,1,101,0,0.093,0.1773,Jarvan IV,false,12,12,false,"our_synergy:0.671,1.57,0.072 | opp_synergy:0.596,0.73,-0.028 | counter_for:0.435,-0.43,0.024","our_synergy:0.736,2.21,0.101 | counter_for:0.333,-1.14,0.066 | opp_synergy:0.596,0.73,-0.028",1,1,0,0.43452380952380953,-0.4260047611293337,0.02444372718884004,3,0.3333333333333333,-1.1424330173294726,0.0655516641013478,1
d831b1bc-6170-4f6b-8fd1-512eb9b4153d,blue,Aatrox,top,top,top,false,1,1,81,0,0.0992,0.4017,Lulu,false,75,75,false,"opp_meta_sum:0.127,2.58,0.180 | counter_against:0.222,-2.17,0.066 | our_synergy:0.370,-1.40,-0.064","counter_for:0.000,-3.50,0.201 | opp_meta_sum:0.127,2.58,0.180 | counter_against:0.222,-2.17,0.066",1,0.5,0.5,0.625,0.9225660740709272,-0.05293591876411573,2,0,-3.502431978929929,0.2009660445190204,1
821b77c1-d135-4e87-8137-557e141b1266,blue,Jhin,bot,bot,bot,false,1,1,137,0,0.2353,0.3861,Pyke,false,9,9,false,"counter_for:0.286,-1.48,0.085 | counter_against:0.167,-2.61,0.079 | opp_synergy:0.347,-1.52,0.058","counter_for:0.000,-3.50,0.201 | counter_against:0.167,-2.61,0.079 | opp_synergy:0.347,-1.52,0.058",1,0.5,0.5,0.2857142857142857,-1.479575726129538,0.08489657558958676,1,0,-3.502431978929929,0.2009660445190204,1
