slot,version,N,AvgRank,AvgPctl,AvgRegret,Top3%,pb_corr,bestRoleCov05_rate,counter_for_count_avg,counter_for_count_zero_rate
PICK_1,v0,6744,37.2,73.4,0.0836,6.4,-0.0524,0,0.35,65.15
PICK_1,v1,6744,37.3,73.4,0.0835,6.4,-0.0524,0,0.35,65.15
PICK_1,v2,6744,35.2,74.9,0.0086,6.5,-0.0482,0,0.35,65.15
PICK_2,v0,6744,95.1,28.5,0.0851,2.2,-0.0241,6.49,1.02,23.61
PICK_2,v1,6744,75.5,43.3,0.0842,2.4,-0.0212,0,1.02,23.61
PICK_2,v2,6744,76.5,42.5,0.0833,2.3,-0.0183,0,1.02,23.61
PICK_3,v0,6744,51.6,61.4,0.1074,5.2,-0.0242,39.49,1.71,13.23
PICK_3,v1,6744,30.8,77.2,0.0971,8.6,-0.0195,0,1.71,13.23
PICK_3,v2,6744,27.5,79.7,0.0518,10,-0.021,0,1.71,13.23
PICK_4,v0,6744,71.3,44.8,0.2022,2.5,-0.0122,61.97,2.2,14.15
PICK_4,v1,6744,28.5,78.3,0.164,6.4,-0.0067,0,2.2,14.15
PICK_4,v2,6744,31,76.4,0.0691,6,-0.0164,0,2.2,14.15
PICK_5,v0,6744,70.2,45.2,0.0529,3,-0.0042,77.28,2.66,15.27
PICK_5,v1,6744,14.6,89.1,0.0381,13.9,-0.0013,0,2.66,15.27
PICK_5,v2,6744,14.7,89.1,0.0332,15.5,-0.0031,0,2.66,15.27
