section,key,n,avg_rank,median_rank,avg_percentile,avg_regret,median_regret,top1%,top3%,top5%,top10%,win_rate,unknown_rate
global,all,33720,65.1,63,50.7,0.1062,0.0906,1.3,3.9,6.4,14.1,50,0.39
slot,PICK_1,6744,37.2,20,73.4,0.0836,0.0046,2.4,6.4,10.6,27.8,50,0.15
slot,PICK_2,6744,95.1,106,28.5,0.0851,0.0866,0.7,2.2,3.6,6.3,50,0.18
slot,PICK_3,6744,51.6,33,61.4,0.1074,0.1056,1.6,5.2,8.8,17.8,50,0.19
slot,PICK_4,6744,71.3,84,44.8,0.2022,0.2057,0.8,2.5,4.5,9.2,50,0.43
slot,PICK_5,6744,70.2,81,45.2,0.0529,0.0502,1.1,3,4.6,9.5,50,1.01
patch,14.1,1280,30.5,19,57,0.0802,0.0614,8,19.1,26.6,37.7,50,5
patch,14.10,850,54.8,51,51.7,0.1059,0.087,1.1,4.2,7.8,16.5,50,0.71
patch,14.11,1140,54.9,46.5,52.7,0.1063,0.0894,1,4.1,7.6,17.9,50,0.35
patch,14.13,1500,58.7,58,51.7,0.1076,0.0882,0.7,3.3,6.4,15.7,50,0.27
patch,14.14,770,58.6,47,53.1,0.1025,0.0849,2.1,4.5,6.9,16.6,50,0.13
patch,14.15,3090,61.9,73,50.5,0.1067,0.0909,0.9,3.7,6.8,15.1,50,0.26
patch,14.16,810,67.7,83,48.8,0.1111,0.0937,1,3.7,5.3,12.8,50,0
patch,14.3,1610,45.8,45,51.9,0.0968,0.08,3,8.7,14.3,26.9,50,0.43
patch,14.5,1240,44.7,35,52.9,0.0982,0.0834,2.6,8.7,14.5,26.5,50,1.29
patch,14.6,840,51.5,49,51.7,0.1021,0.0867,1.5,7.1,11.1,21,50,0.6
patch,15.1,1060,65.2,63.5,52,0.1097,0.0937,2.4,4.5,7.4,13.4,50,0.47
patch,15.10,1300,72.9,84,49.7,0.1102,0.0972,0.3,1.6,2.8,9.4,50,0
patch,15.11,1160,72.5,83.5,50,0.1084,0.0953,0.7,1.8,3.4,10.1,50,0
