feature,importance
hero_kda,391
hero_forward_pct,331
hero_kp,241
hero_dpm,212
execution_difficulty,147
avg_matchup_win_rate,137
hero_dpm_per_gold,101
ally_physical_ratio,93
ally_engage_count,88
ally_has_adc_core,85
ally_cc_count,81
ally_mage_count,78
ally_missing_frontline,63
hero_damage_pct,60
ally_missing_cc,36
ally_tank_count,36
hero_has_mobility,34
hero_has_engage,25
ally_magic_ratio,24
ally_has_single_core,21
hero_is_mage,16
stage_mid,15
stage_early,14
ally_mobility_count,11
hero_is_tank,2
ally_assassin_count,1
hero_has_burst,0
worst_matchup_win_rate,0
hero_is_assassin,0
stage_late,0
